tweets,label
कल के आये कुछ आईटी सेल के लोग योगी जी के विरोध में उतरे हैं। मैदान में आप किन के साथ है यह आपको सोचना है।,defamation
"भारत मे चोर बाजार के धंधे भी शांतिदूत ही करते हैं

मुंबई में मटन वाली मोहम्मद अली रॉड से ये मशहूर चोर बाजार है 

दिल्ली का चांदनी चौक का चोर बाजार 

चेन्नई का पुदुपेट चोर बाजार

सोतीगंज मेरठ

गुजरात मे अहमदाबाद में है और मोडासा में भी शांतिदूतों का चोर बाजार है",defamation
@narendramodi वह गब्बू फेकू अंबानी अडानी के रिश्तेदार नागपुर वाली एम्स बन गई बिहार के दरभंगा वाली एम्स तो 2015 में ही अलार्म्स कर दिया था चुनाव देखते फेंकने लगा झूठ,offensive
"कुछ दिनो के बाद #मोदीजी गायब
#विकास_गायब_है",defamation
मतलब युवा दलाली करते है लेकिन किसकी? वो तो खुद रोटी के लिए संघर्ष कर रहे है सर,defamation
"कश्मीर में 370 हटने के बाद कल तक 42 लोग पैलेट गन का शिकार हो चुके हैं, अधिकतर अपनी आँखे गँवा चुके है । कश्मीर में कितनी शांति है | BBC न्यूज़ हिंदी ने दिखाया । अल्लाह रहम करे इन लाचार, मजलूम मुसलमानों बच्चों को ।

",fake
"साला समझ मे नही आता🙄 

मुहल्ले के बच्चों को नॉटी कैसे,बोलू संजय राउत जैसे=हरामखोर ने तो इसकी परिभाषा ही बदल दी.😂😂",defamation
"देखो कौन कह रहा. सत्ता के लालच में हिंदुत्व विचारधारा, राम जी, और बाला शाहब का नाम डुबो के रख दिया. महारष्ट्र की जनता शिव सेना का असली चेहरा पहचान लिया.",defamation
"योगी जी का जलवा कुछ अलग ही रहता है..

UP में 30 अगस्त तक सभी धार्मिक उत्सव और समारोह पर पूर्ण पाबन्दी रहेगी - योगी सरकार..

😥😥29 को मुहर्रम है
🤣🤣🤣",defamation
"आखिर क्यों TIFR(टाटा इंस्टीटूट),Wuhan Institute of Virology and US Deptt of Defence के साथ #नागालैंड में #चमगादड़ों पर वायरस रिसर्च कर रहा था???
क्या यही वजह है कि टाटा को मोटा दान देना पड़ा
@Swamy39
 जी शायद इस मामले को कोर्ट में ले जाएंगे ",defamation
